Acquire_credit_card_next_month,Gender,Marital_Status,Age,Race,Address_Type,Holding_Paylah!,Holding_Unsecured Loan,Holding_Secured Loan,Holding_Mortgage,Holding_Investment,Holding_Insurance,Holding_Internet Banking,Holding_Mobile Banking,Monthly_Income,Total_Asset,BookMusic_Spend,Dining_Spend,Suppermarket_Spend,Travel_Spend,Inflow_Transaction_Count,Non_financial_Transaction_Count
0,F,Single,40,Chinese,HDB,1,0,0,0,0,0,1,1,1365.769689,179.8194848,12.601246,177.8346438,352.5851046,0,565.172124,0
0,M,Married,33,Others,Private Housing,0,0,0,0,0,0,0,0,874.6883598,98.6314067,0,0,92.26563737,0,0,0
0,F,Single,25,Others,HDB,1,0,0,0,0,0,1,1,863.436697,874.0773403,153.2196564,746.8979437,748.0753799,150.3687677,1634.587066,13.80711787
0,F,Married,57,Chinese,HDB,0,0,0,0,0,0,1,1,2185.624326,29365.33135,0,435.0363996,308.9132244,0,211.4274539,0.921905615
0,M,Single,34,Indian,Private Housing,1,0,0,0,0,0,1,1,6515.854791,11282.37943,26.3787017,904.7700259,3577.711504,0,998.1116051,3.682421068
0,F,Single,38,Chinese,Private Housing,1,0,0,0,0,0,1,1,4877.717442,72190.59443,0,13.98796976,0,0,484.3227543,4.919974219
0,M,Single,44,Chinese,Overseas Address,0,0,0,0,0,0,0,0,4981.08638,12996.9126,0,0,5.188587144,0,0,0
0,M,Single,36,Indian,Private Housing,0,0,0,0,0,0,1,1,2911.862908,795.6287517,132.3515503,62.96551861,23.89884095,0,4117.688586,4.784007089
0,M,Single,20,Others,HDB,0,0,0,0,0,0,1,0,750.8783092,0.443268562,0,87.66731265,154.1867083,0,721.4357634,1.978879003
0,M,Unknown,71,Chinese,Private Housing,1,0,0,0,0,0,1,1,13674.52738,0,9.119579479,83.80421869,1569.527206,0,781.9676617,6.878961481
0,M,Single,44,Indian,Office Address,0,0,0,0,0,0,1,1,4067.318739,9100.171879,0,0,614.8971164,0,785.0829738,2.108896837
0,M,Unknown,43,Chinese,Office Address,0,0,0,0,0,0,0,0,1889.733688,2129.881546,0,0,13.64240991,0,0,0
0,M,Married,48,Chinese,HDB,0,0,0,0,0,0,1,0,2781.815086,1957.237845,0,0,0,0,0,0
0,M,Unknown,29,Indian,HDB,0,0,0,0,0,0,1,1,3066.829586,161.2670907,0,0,328.7173397,0,1016.763446,0
0,F,Single,28,Chinese,HDB,1,0,0,0,0,1,1,1,247.0081875,33.35352191,0,154.7638059,342.0094816,0,1048.210692,9.997473117
0,F,Single,30,Malay,HDB,1,0,0,0,0,0,1,1,2213.905573,88.03775453,0,238.3996187,141.5829758,113.6081392,251.0662652,0
1,F,Single,33,Chinese,HDB,0,0,0,0,0,0,1,1,2647.909689,3301.703222,0,247.9168948,0,0,1764.663262,3.08577367
0,M,Married,57,Chinese,HDB,0,0,0,0,0,0,1,1,2821.676145,25318.1339,0,653.9521943,56.09124894,0,1976.667032,1.919347941
1,F,Single,27,Chinese,HDB,1,0,0,0,0,0,1,1,3162.35609,3206.273297,65.42439888,1576.701706,1100.494511,452.4030994,1815.013229,3.009385446
